"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/04/2013","AQS","370010002","1","6.7","ug/m3 LC","37","Hopedale","1","100.0000","88101","PM2.5 - Local Conditions","118","R & P Model 2025 PM2.5 Sequential w/WINS","15500","Burlington, NC","37","North Carolina","001","Alamance","36.0890040008984","-79.407821"
"01/10/2013","AQS","370010002","1","7.3","ug/m3 LC","41","Hopedale","1","100.0000","88101","PM2.5 - Local Conditions","118","R & P Model 2025 PM2.5 Sequential w/WINS","15500","Burlington, NC","37","North Carolina","001","Alamance","36.0890040008984","-79.407821"
"01/16/2013","AQS","370010002","1","3","ug/m3 LC","17","Hopedale","1","100.0000","88101","PM2.5 - Local Conditions","118","R & P Model 2025 PM2.5 Sequential w/WINS","15500","Burlington, NC","37","North Carolina","001","Alamance","36.0890040008984","-79.407821"
"01/22/2013","AQS","370010002","1","3.7","ug/m3 LC","21","Hopedale","1","100.0000","88101","PM2.5 - Local Conditions","118","R & P Model 2025 PM2.5 Sequential w/WINS","15500","Burlington, NC","37","North Carolina","001","Alamance","36.0890040008984","-79.407821"
"01/28/2013","AQS","370010002","1","21","ug/m3 LC","73","Hopedale","1","100.0000","88101","PM2.5 - Local Conditions","118","R & P Model 2025 PM2.5 Sequential w/WINS","15500","Burlington, NC","37","North Carolina","001","Alamance","36.0890040008984","-79.407821"
"02/03/2013","AQS","370010002","1","6.5","ug/m3 LC","36","Hopedale","1","100.0000","88101","PM2.5 - Local Conditions","118","R & P Model 2025 PM2.5 Sequential w/WINS","15500","Burlington, NC","37","North Carolina","001","Alamance","36.0890040008984","-79.407821"
"02/09/2013","AQS","370010002","1","8.8","ug/m3 LC","49","Hopedale","1","100.0000","88101","PM2.5 - Local Conditions","118","R & P Model 2025 PM2.5 Sequential w/WINS","15500","Burlington, NC","37","North Carolina","001","Alamance","36.0890040008984","-79.407821"
"02/15/2013","AQS","370010002","1","7.8","ug/m3 LC","43","Hopedale","1","100.0000","88101","PM2.5 - Local Conditions","118","R & P Model 2025 PM2.5 Sequential w/WINS","15500","Burlington, NC","37","North Carolina","001","Alamance","36.0890040008984","-79.407821"
"02/21/2013","AQS","370010002","1","5.8","ug/m3 LC","32","Hopedale","1","100.0000","88101","PM2.5 - Local Conditions","118","R & P Model 2025 PM2.5 Sequential w/WINS","15500","Burlington, NC","37","North Carolina","001","Alamance","36.0890040008984","-79.407821"
"02/27/2013","AQS","370010002","1","5","ug/m3 LC","28","Hopedale","1","100.0000","88101","PM2.5 - Local Conditions","118","R & P Model 2025 PM2.5 Sequential w/WINS","15500","Burlington, NC","37","North Carolina","001","Alamance","36.0890040008984","-79.407821"
