STATE_FIPS,CNTY_FIPS,STCOFIPS,STATE_NAME,STATE_ABBR,COUNTY,G1V1R,G1V2R,G1V3R,G1V4R,G2V1R,G2V2R,G2V3R,G2V4R,G3V1R,G3V2R,G4V1R,G4V2R,G4V3R,G4V4R,G4V5R,NCG1V1P,NCG1V2P,NCG1V3P,NCG1V4P,NCG1TP,NCG2V1P,NCG2V2P,NCG2V3P,NCG2V4P,NCG2TP,NCG3V1P,NCG3V2P,NCG3TP,NCG4V1P,NCG4V2P,NCG4V3P,NCG4V4P,NCG4V5P,NCG4VTP,NCTP,NCG1V1F,NCG1V2F,NCG1V3F,NCG1V4F,NCG1TF,NCG2V1F,NCG2V2F,NCG2V3F,NCG2V4F,NCG2TF,NCG3V1F,NCG3V2F,NCG3TF,NCG4V1F,NCG4V2F,NCG4V3F,NCG4V4F,NCG4V5F,NCG4TF,NCTF,Totpop2000,Totalhu,G1V1N,G1V2N,G1V4N,G2V1N,G2V2N,G2V3N,G2V4N,G3V1N,G3V2N,G4V1N,G4V2N,G4V3N,G4V4N,G4V5N
37,001,37001,North Carolina,NC,Alamance ,0.1114,0.0339,19391.0,0.2345,0.1407,0.2382,0.222,0.0926,0.2762,0.0391,0.0463,0.1531,0.0358,0.0624,0.0286,0.2828,0.5758,0.7778,0.3333,0.5455,0.5354,0.404,0.3333,0.596,0.4848,0.4949,0.9293,0.8283,0.8586,0.1616,0.697,0.2525,0.6061,0.5152,0.5758,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,130800,55463,14183,3483,20316,18404,31153,26905,4790,36121,4791,2566,8493,1848,3221,3745
37,003,37003,North Carolina,NC,Alexander ,0.0848,0.0178,18507.0,0.3134,0.1183,0.2431,0.2158,0.0765,0.0881,0.0104,0.0038,0.3181,0.0306,0.055,0.007,0.0505,0.0,0.6566,0.7778,0.1717,0.2121,0.5051,0.2323,0.3434,0.0909,0.1414,0.4141,0.1717,0.0909,0.8687,0.4545,0.1111,0.0101,0.101,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33603,14098,2821,468,7123,3976,8169,6715,1008,2960,327,53,4484,402,722,234
37,005,37005,North Carolina,NC,Alleghany ,0.1715,0.0279,17691.0,0.3197,0.1932,0.1926,0.2404,0.0396,0.0746,0.0273,0.0123,0.1482,0.015,0.091,0.0197,0.7071,0.3131,0.5455,0.8485,0.7879,0.9192,0.0303,0.4848,0.0,0.1818,0.1111,0.798,0.3838,0.4444,0.1414,0.0404,0.7172,0.4343,0.202,0.3636,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10677,6412,1804,248,2503,2063,2056,2398,182,796,276,79,950,69,418,210
37,007,37007,North Carolina,NC,Anson ,0.1777,0.033,14853.0,0.2984,0.1445,0.2521,0.3036,0.1306,0.5065,0.0049,0.0047,0.2433,0.046,0.1138,0.0568,0.7475,0.5455,0.1515,0.6768,0.6364,0.6061,0.697,0.9495,0.9293,0.9596,0.8889,0.0909,0.4545,0.1111,0.5859,0.8788,0.8586,0.8889,0.8283,0.7879,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,25275,10221,4235,647,5020,3652,6372,6768,1203,12803,115,48,2487,423,1047,1435
37,009,37009,North Carolina,NC,Ashe ,0.1345,0.0274,16429.0,0.314,0.1792,0.1989,0.2647,0.0534,0.0373,0.0103,0.0158,0.2061,0.0165,0.0867,0.0124,0.5152,0.2828,0.3636,0.798,0.5253,0.8485,0.0505,0.7475,0.0505,0.3838,0.0303,0.3838,0.1414,0.5253,0.3939,0.0606,0.6263,0.1616,0.1919,0.2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24384,13268,3246,552,5564,4369,4849,6052,555,910,238,210,2734,172,903,303
37,011,37011,North Carolina,NC,Avery ,0.1526,0.0382,15176.0,0.2941,0.1568,0.1946,0.2563,0.0575,0.0747,0.0181,0.0902,0.1559,0.0171,0.0811,0.1085,0.6061,0.7273,0.2121,0.6364,0.6465,0.7273,0.0404,0.6869,0.0606,0.2424,0.1313,0.6162,0.2626,0.9091,0.1717,0.0808,0.5253,0.9596,0.5354,0.404,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,17167,11911,2345,542,3546,2692,3340,3807,375,1283,295,1074,1857,112,530,1863
37,013,37013,North Carolina,NC,Beaufort ,0.1947,0.0362,16722.0,0.2496,0.1598,0.2357,0.2471,0.0921,0.3295,0.0133,0.0131,0.2754,0.0257,0.0992,0.0129,0.8384,0.6263,0.3939,0.3939,0.697,0.7475,0.3737,0.5657,0.5859,0.6869,0.596,0.4545,0.5455,0.4545,0.7172,0.3333,0.8182,0.1919,0.4444,0.6768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44958,22139,8642,1285,7705,7183,10595,10321,1685,14813,562,291,6098,470,1818,581
37,015,37015,North Carolina,NC,Bertie ,0.2346,0.0376,14096.0,0.3621,0.1599,0.2608,0.2871,0.1148,0.6401,0.0024,0.003,0.3166,0.039,0.1462,0.0101,0.9899,0.6768,0.0505,0.9899,0.899,0.7576,0.8586,0.9091,0.8283,0.9798,0.9899,0.0303,0.5051,0.0505,0.8586,0.7778,0.9596,0.0606,0.5859,0.8384,1,0,0,1,2,0,0,1,0,1,1,0,1,0,0,0,1,0,1,5,19773,9050,4597,573,4756,3162,5156,5282,888,12657,45,27,2865,302,1132,199
37,017,37017,North Carolina,NC,Bladen ,0.2098,0.0307,14735.0,0.2942,0.1455,0.2467,0.2788,0.1155,0.4403,0.0164,0.0118,0.3061,0.0327,0.0934,0.0217,0.9293,0.4848,0.1313,0.6465,0.6566,0.6162,0.5859,0.8889,0.8384,0.8788,0.798,0.5657,0.7778,0.4141,0.8081,0.5758,0.7475,0.4848,0.7273,0.899,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32278,15316,6622,774,6298,4697,7963,8227,1487,14212,494,180,4688,422,1205,699
37,019,37019,North Carolina,NC,Brunswick ,0.1258,0.0264,19857.0,0.2174,0.1687,0.2122,0.2467,0.0768,0.1896,0.0153,0.0174,0.3589,0.0262,0.0574,0.0099,0.3838,0.2121,0.798,0.2323,0.2222,0.798,0.1818,0.5556,0.3535,0.5253,0.3636,0.5253,0.3636,0.596,0.9798,0.3434,0.1515,0.0505,0.3333,0.3838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,73143,51431,9095,1567,11435,12342,15518,16906,2339,13866,1055,895,18458,796,1746,724
