AFFGEOID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,Shape,Shape.STArea(),Shape.STLength()
0500000US37017,37,NORTH CAROLINA,NC,Bladen,37017,"Bladen County, North Carolina",874.37190698,34915.0,0.0,17674.0,121.0,14407.0,425.0,9575.0,910.0,1908.0,405.0,19059.0,1194.0,5451.0,567.0,5913.0,17.0,7773.0,30.0,7747.0,596.0,1831.0,339.2,15952.0,118.0,815.0,322.6,339.0,159.8,6372.0,515.0,297.0,198.5,1288.0,302.0,668.0,238.0,27.9,2.7,12.9,2.7,19059.0,1194.0,22.6,2.4,16.9,0.1,22.3,0.1,22.5,1.7,12.7,2.3,45.7,0.3,2.5,1.0,1.9,0.9,36.1,2.9,2.1,1.4,8.9,2.1,1.9,0.7,0.9697,0.7374,0.798,0.8485,3.3535,0.8788,0.5455,0.5051,0.9293,0.8788,2.8586,0.9394,0.7677,0.7374,1.5051,0.8384,0.4646,0.9697,0.3737,0.7778,0.4545,3.0404,0.7879,10.7576,0.9394,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6031.0,657.0,17.5,1.9,36881.0,"(-78.56317791429073, 34.61430016666087)",0.22583708688268656,2.5668478978072793
0500000US37043,37,NORTH CAROLINA,NC,Clay,37043,"Clay County, North Carolina",214.7560888,10616.0,0.0,7178.0,25.0,4351.0,307.0,2483.0,489.0,617.0,218.0,21935.0,2624.0,948.0,230.0,2758.0,73.0,2005.0,69.0,1661.0,292.0,195.0,98.8,454.0,95.0,61.0,79.6,98.0,71.5,1415.0,258.0,61.0,52.0,191.0,105.0,91.0,34.0,23.6,4.6,13.5,4.8,21935.0,2624.0,12.1,2.9,26.0,0.7,18.9,0.6,15.8,2.8,4.5,2.2,4.3,0.9,0.6,0.8,1.4,1.0,19.7,3.6,1.4,1.2,4.4,2.3,0.9,0.3,0.7475,0.8283,0.4141,0.1616,2.1515,0.5859,0.9798,0.1212,0.3838,0.0,1.4848,0.1212,0.0,0.1313,0.1313,0.0202,0.3434,0.4545,0.1414,0.101,0.0909,1.1313,0.0303,4.899,0.101,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2452.0,477.0,23.3,4.5,8521.0,"(-83.75021653707842, 35.05720321018486)",0.05644467596870056,1.3998832612260856
0500000US37047,37,NORTH CAROLINA,NC,Columbus,37047,"Columbus County, North Carolina",936.6370603,57512.0,0.0,25950.0,310.0,22131.0,509.0,13291.0,1167.0,2478.0,346.0,19289.0,931.0,7991.0,584.0,9469.0,51.0,13078.0,21.0,11084.0,681.0,2402.0,327.5,22883.0,140.0,581.0,226.9,214.0,92.7,8080.0,469.0,410.0,128.6,1878.0,290.0,2866.0,752.0,24.3,2.1,10.6,1.5,19289.0,931.0,20.4,1.5,16.5,0.1,22.7,0.0,20.2,1.2,10.9,1.5,39.8,0.2,1.1,0.4,0.8,0.4,31.1,1.8,1.9,0.6,8.5,1.3,5.0,1.3,0.8182,0.3636,0.7778,0.7172,2.6768,0.7071,0.4949,0.6061,0.8283,0.7172,2.6465,0.8889,0.6667,0.303,0.9697,0.4545,0.1515,0.9192,0.2929,0.7576,0.8384,2.9596,0.7273,9.2525,0.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,10502.0,945.0,19.2,1.6,54717.0,"(-78.65509092996925, 34.26543637837112)",0.24173411775429338,2.820208424287808
0500000US37057,37,NORTH CAROLINA,NC,Davidson,37057,"Davidson County, North Carolina",552.6804129,163545.0,0.0,72793.0,152.0,64254.0,791.0,25866.0,1755.0,9664.0,812.0,22465.0,501.0,21329.0,1063.0,25492.0,107.0,37906.0,0.0,26300.0,1150.0,5499.0,543.5,30108.0,38.0,3100.0,452.8,2026.0,281.7,10869.0,699.0,1553.0,282.2,3611.0,455.0,1963.0,340.0,16.1,1.1,11.9,1.0,22465.0,501.0,18.9,0.9,15.6,0.1,23.2,0.0,16.3,0.7,8.6,0.8,18.4,0.0,2.0,0.3,2.8,0.4,14.9,1.0,2.4,0.4,5.6,0.7,1.2,0.2,0.2222,0.5152,0.3838,0.6263,1.7475,0.404,0.404,0.697,0.4848,0.3333,1.9192,0.4242,0.3131,0.6667,0.9798,0.4646,0.6364,0.2626,0.5859,0.303,0.202,1.9899,0.2121,6.6364,0.3838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23557.0,1351.0,14.6,0.8,138778.0,"(-80.2126884579217, 35.79329215309553)",0.14643001220267352,1.9390834337839122
0500000US37087,37,NORTH CAROLINA,NC,Haywood,37087,"Haywood County, North Carolina",553.69756387,59012.0,0.0,35068.0,133.0,26261.0,466.0,9210.0,987.0,2087.0,345.0,24870.0,1033.0,5880.0,580.0,13153.0,78.0,11100.0,75.0,8982.0,605.0,2470.0,335.9,3820.0,21.0,324.0,142.7,466.0,142.7,6403.0,552.0,514.0,189.7,1055.0,220.0,677.0,199.0,15.8,1.7,7.8,1.3,24870.0,1033.0,13.5,1.3,22.3,0.1,18.8,0.1,15.4,1.0,9.4,1.3,6.5,0.0,0.6,0.3,1.3,0.4,18.3,1.6,2.0,0.7,4.0,0.8,1.1,0.3,0.1919,0.0404,0.2222,0.2525,0.7071,0.1313,0.899,0.101,0.3535,0.5455,1.899,0.404,0.0303,0.1111,0.1414,0.0303,0.3232,0.3939,0.3232,0.0808,0.1919,1.3131,0.0707,4.0606,0.0303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9442.0,889.0,16.2,1.5,52305.0,"(-82.98225073855484, 35.5560522861401)",0.1428066062754539,2.007199750482077
0500000US37093,37,NORTH CAROLINA,NC,Hoke,37093,"Hoke County, North Carolina",390.74670706,50034.0,0.0,19147.0,144.0,16534.0,401.0,10824.0,1355.0,2642.0,452.0,19036.0,888.0,4830.0,576.0,3748.0,82.0,14715.0,0.0,6687.0,605.0,2347.0,337.8,29545.0,132.0,1194.0,331.3,100.0,76.2,3910.0,370.0,567.0,157.3,1080.0,208.0,1200.0,428.0,22.2,2.8,13.5,2.3,19036.0,888.0,15.7,1.9,7.5,0.2,29.4,0.0,14.6,1.3,14.2,2.0,59.0,0.3,2.6,0.7,0.5,0.4,20.4,1.9,3.4,0.9,6.5,1.3,2.4,0.9,0.697,0.8283,0.8182,0.3434,2.6869,0.7172,0.0,1.0,0.3131,0.9495,2.2626,0.7172,0.9293,0.7677,1.697,0.9293,0.0505,0.4949,0.899,0.5051,0.5657,2.5152,0.5051,9.1616,0.7576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6446.0,660.0,14.1,1.4,36407.0,"(-79.23708519491555, 35.01736539317611)",0.10033929367061355,1.4803344831528313
0500000US37103,37,NORTH CAROLINA,NC,Jones,37103,"Jones County, North Carolina",470.70811659,10184.0,0.0,4866.0,54.0,4113.0,146.0,1895.0,351.0,511.0,145.0,20634.0,1255.0,1184.0,175.0,2025.0,25.0,2078.0,48.0,2415.0,293.0,432.0,103.8,3888.0,10.0,161.0,87.5,29.0,13.9,1484.0,180.0,91.0,48.5,266.0,69.0,128.0,99.0,18.8,3.4,10.8,3.1,20634.0,1255.0,16.2,2.4,19.9,0.2,20.4,0.5,24.1,2.9,10.5,2.5,38.2,0.1,1.7,0.9,0.6,0.3,30.5,3.6,2.2,1.2,6.5,1.7,1.3,1.0,0.4444,0.3838,0.6263,0.3939,1.8485,0.4444,0.7778,0.2929,0.9899,0.6667,2.7273,0.9192,0.6263,0.5556,1.1818,0.6364,0.0707,0.8889,0.4646,0.5051,0.2323,2.1616,0.2727,7.9192,0.6465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1761.0,199.0,17.5,1.9,7807.0,"(-77.35525812432988, 35.02167918655346)",0.12107050248587503,2.173290873054002
0500000US37117,37,NORTH CAROLINA,NC,Martin,37117,"Martin County, North Carolina",461.2183024,23947.0,0.0,11632.0,50.0,9465.0,330.0,5358.0,721.0,1761.0,328.0,19313.0,887.0,3168.0,304.0,4615.0,55.0,5124.0,35.0,4612.0,384.0,792.0,190.6,11472.0,23.0,266.0,146.4,174.0,99.9,2613.0,304.0,252.0,123.2,787.0,140.0,172.0,104.0,22.5,3.0,16.3,2.9,19313.0,887.0,18.7,1.8,19.3,0.2,21.4,0.1,19.3,1.6,8.4,2.0,47.9,0.1,1.2,0.6,1.5,0.9,22.5,2.6,2.7,1.3,8.3,1.4,0.7,0.4,0.7172,0.9293,0.7576,0.596,3.0,0.8081,0.7576,0.3737,0.7778,0.3131,2.2222,0.6869,0.8182,0.3737,1.1919,0.6465,0.3636,0.596,0.6566,0.7273,0.0404,2.3838,0.404,8.798,0.7273,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4384.0,550.0,18.4,2.3,22101.0,"(-77.10708551256866, 35.841592962900876)",0.11924152532696033,2.2606414781297213
0500000US37127,37,NORTH CAROLINA,NC,Nash,37127,"Nash County, North Carolina",540.40159207,95174.0,0.0,42343.0,136.0,37159.0,629.0,16512.0,1370.0,5980.0,619.0,23056.0,627.0,10333.0,657.0,14367.0,61.0,22162.0,0.0,14435.0,829.0,4307.0,410.8,44950.0,17.0,1556.0,265.8,814.0,234.4,7906.0,610.0,1042.0,272.2,2847.0,358.0,2199.0,326.0,17.8,1.5,12.8,1.3,23056.0,627.0,16.0,1.0,15.1,0.1,23.3,0.0,15.4,0.9,11.6,1.1,47.2,0.0,1.7,0.3,1.9,0.6,18.7,1.4,2.8,0.7,7.7,0.9,2.3,0.3,0.3333,0.697,0.3333,0.3535,1.7172,0.3939,0.3232,0.7172,0.3535,0.8182,2.2121,0.6768,0.7879,0.5657,1.3535,0.7576,0.4747,0.4141,0.7273,0.6768,0.5455,2.8384,0.6667,8.1212,0.6566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14189.0,995.0,15.1,1.1,97468.0,"(-77.98647168531349, 35.96720838038274)",0.14045114542093326,1.8436261761992339
0500000US37133,37,NORTH CAROLINA,NC,Onslow,37133,"Onslow County, North Carolina",762.77576291,182921.0,0.0,72570.0,241.0,61147.0,753.0,24719.0,2063.0,8352.0,793.0,21583.0,498.0,9336.0,935.0,14511.0,133.0,46698.0,87.0,21429.0,1064.0,6929.0,603.1,58921.0,142.0,1177.0,313.3,4455.0,606.5,11174.0,742.0,1048.0,246.7,3092.0,443.0,13888.0,633.0,14.7,1.2,12.3,1.1,21583.0,498.0,9.7,1.0,7.9,0.1,25.5,0.0,14.1,0.7,11.3,1.0,32.2,0.1,0.7,0.2,6.1,0.8,15.4,1.0,1.7,0.4,5.1,0.7,7.6,0.3,0.1212,0.5859,0.4646,0.0404,1.2121,0.2424,0.0101,0.9192,0.2424,0.798,1.9697,0.4848,0.5253,0.1818,0.7071,0.2727,0.8485,0.303,0.202,0.2121,0.9293,2.4949,0.4848,6.3838,0.3232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,20534.0,1995.0,13.6,1.3,168097.0,"(-77.4322794234816, 34.7317364625233)",0.20452844943580414,2.3269144696455624
