Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Retirement Month,Retirement Year,Nameplate Energy Capacity (MWh),DC Net Capacity (MW),Latitude,Longitude
61950,Terra-Gen Operating Co-Solar,10446,SEGS IX,Map,Map,CA,San Bernardino,CISO,IPP Non-CHP,GEN1,,92,88,64,Solar Thermal without Energy Storage,SUN,ST,9,1990,10,2024, , ,35.033,-117.338
5347,Dow Chemical Co,52006,LaO Energy Systems,Map,Map,LA,Iberville,MISO,Industrial CHP,GEN4,CC1,76.5,49,49,Natural Gas Fired Combined Cycle,NG,CA,6,1969,10,2024, , ,30.3186,-91.2325
11208,Los Angeles Department of Water & Power,57854,North Hollywood,Map,Map,CA,Los Angeles,LDWP,Commercial Non-CHP,1PT1,,1.8,1.8,1.8,Conventional Hydroelectric,WAT,HY,1,1993,10,2024, , ,34.194444,-118.3903
11208,Los Angeles Department of Water & Power,57854,North Hollywood,Map,Map,CA,Los Angeles,LDWP,Commercial Non-CHP,1PT2,,1.8,1.8,1.8,Conventional Hydroelectric,WAT,HY,1,1993,10,2024, , ,34.194444,-118.3903
11208,Los Angeles Department of Water & Power,57854,North Hollywood,Map,Map,CA,Los Angeles,LDWP,Commercial Non-CHP,1PT3,,1.8,1.8,1.8,Conventional Hydroelectric,WAT,HY,1,1993,10,2024, , ,34.194444,-118.3903
11208,Los Angeles Department of Water & Power,57854,North Hollywood,Map,Map,CA,Los Angeles,LDWP,Commercial Non-CHP,3T1,,0.5,0.5,0.5,Conventional Hydroelectric,WAT,HY,1,1993,10,2024, , ,34.194444,-118.3903
11208,Los Angeles Department of Water & Power,57854,North Hollywood,Map,Map,CA,Los Angeles,LDWP,Commercial Non-CHP,3T2,,0.2,0.2,0.2,Conventional Hydroelectric,WAT,HY,1,1993,10,2024, , ,34.194444,-118.3903
5416,"Duke Energy Carolinas, LLC",2718,G G Allen,Map,Map,NC,Gaston,DUK,Electric Utility,5,,272,259,259,Conventional Steam Coal,BIT,ST,7,1961,9,2024, , ,35.1897,-81.0122
20541,Wheelabrator Environmental Systems,54998,Wheelabrator Portsmouth,Map,Map,VA,Portsmouth City,PJM,Commercial CHP,1410,,20,15.5,15.5,Municipal Solid Waste,MSW,ST,10,1987,7,2024, , ,36.8083,-76.3036
20541,Wheelabrator Environmental Systems,54998,Wheelabrator Portsmouth,Map,Map,VA,Portsmouth City,PJM,Commercial CHP,1420,,20,0,0,Municipal Solid Waste,MSW,ST,3,1987,7,2024, , ,36.8083,-76.3036
